ano,sexo,gr_et,edad_grupo,conteo_defunciones
2005,1,8,15,29
2005,1,9,16,53
2005,1,10,17,67
2005,1,11,18,77
2005,1,12,19,63
2005,1,13,20,57
2005,1,14,21,67
2005,1,15,22,75
2005,1,16,23,77
2005,1,17,24,47
2005,1,17,25,48
2005,2,1,5,3
2005,2,1,7,8
2005,2,1,8,3
2005,2,2,9,7
2005,2,3,10,2
2005,2,4,11,5
2005,2,5,12,12
2005,2,6,13,15
2005,2,7,14,17
2005,2,8,15,20
2005,2,9,16,24
2005,2,10,17,27
2005,2,11,18,26
2005,2,12,19,12
2005,2,13,20,19
2005,2,14,21,31
2005,2,15,22,41
2005,2,16,23,34
2005,2,17,24,28
2005,2,17,25,25
2006,1,1,5,1
2006,1,1,6,3
2006,1,1,7,5
2006,1,1,8,5
2006,1,2,9,3
2006,1,3,10,2
2006,1,4,11,8
2006,1,5,12,18
2006,1,6,13,28
2006,1,7,14,35
2006,1,8,15,32
2006,1,9,16,38
2006,1,10,17,45
2006,1,11,18,83
2006,1,12,19,73
2006,1,13,20,58
2006,1,14,21,67
2006,1,15,22,78
2006,1,16,23,81
2006,1,17,24,46
2006,1,17,25,46
2006,2,1,5,2
2006,2,1,6,5
2006,2,1,7,4
2006,2,1,8,6
2006,2,2,9,4
2006,2,3,10,2
2006,2,4,11,9
2006,2,5,12,14
2006,2,6,13,12
2006,2,7,14,15
2006,2,8,15,21
2006,2,9,16,20
2006,2,10,17,20
2006,2,11,18,19
2006,2,12,19,19
2006,2,13,20,23
2006,2,14,21,34
2006,2,15,22,27
2006,2,16,23,27
2006,2,17,24,22
2006,2,17,25,32
2007,1,1,5,4
2007,1,1,6,2
2007,1,1,7,3
2007,1,1,8,3
2007,1,2,9,3
2007,1,3,10,3
2007,1,4,11,8
2007,1,5,12,21
2007,1,6,13,27
2007,1,7,14,27
2007,1,8,15,21
2007,1,9,16,51
2007,1,10,17,62
2007,1,11,18,68
2007,1,12,19,94
2007,1,13,20,86
2007,1,14,21,78
2007,1,15,22,69
2007,1,16,23,83
2007,1,17,24,60
2007,1,17,25,50
2007,2,1,5,2
2007,2,1,6,1
2007,2,1,7,2
2007,2,1,8,3
2007,2,2,9,5
2007,2,3,10,6
2007,2,4,11,14
2007,2,5,12,13
2007,2,6,13,17
2007,2,7,14,15
2007,2,8,15,23
2007,2,9,16,24
2007,2,10,17,21
2007,2,11,18,24
2007,2,12,19,20
2007,2,13,20,25
2007,2,14,21,41
2007,2,15,22,34
2007,2,16,23,37
2007,2,17,24,22
2007,2,17,25,27
2008,1,1,5,5
2008,1,1,6,3
2008,1,1,7,5
2008,1,1,8,6
2008,1,2,9,3
2008,1,3,10,1
2008,1,4,11,10
2008,1,5,12,25
2008,1,6,13,26
2008,1,7,14,42
2008,1,8,15,38
2008,1,9,16,43
2008,1,10,17,67
2008,1,11,18,72
2008,1,12,19,88
2008,1,13,20,71
2008,1,14,21,66
2008,1,15,22,73
2008,1,16,23,82
2008,1,17,24,54
2008,1,17,25,36
2008,1,17,26,6
2008,1,17,27,1
2008,2,1,5,3
