dataset,year,age,obs_tasa_x100k,pred_tasa_x100k,abs_error_100k,rel_abs_error
train,2005,13,6.54608096468562,10.071866989135742,3.525786024450122,0.5386102071560478
train,2005,14,11.153931077811192,13.058549880981445,1.9046188031702531,0.17075762705392636
train,2005,15,17.14160740990313,16.500202178955078,0.6414052309480525,0.0374180329539842
train,2005,16,22.414235260621,22.036083221435547,0.37815203918545137,0.016871065855626147
train,2005,17,27.789982837807894,28.591995239257812,0.8020124014499181,0.02885976598584877
train,2006,1,0.771010598411171,0.42767423391342163,0.3433363644977494,0.4453069324920055
train,2006,2,0.16571032084122128,0.13807237148284912,0.02763794935837216,0.16678471936993736
train,2006,3,0.09458863167612469,0.1262577325105667,0.03166910083444202,0.33480874258276083
train,2006,4,0.43058021190118656,0.4222319722175598,0.008348239683626746,0.019388349610276998
train,2006,5,0.8655184482552494,0.8686794638633728,0.0031610156081234297,0.003652164335135656
train,2006,6,1.188139516094539,1.016453504562378,0.171686011532161,0.14449987497794461
train,2006,7,1.6685270743545713,1.4372564554214478,0.2312706189331235,0.13860765131572483
train,2006,8,1.7913866075937228,1.745302677154541,0.0460839304391818,0.02572528467266942
train,2006,9,2.0485260501874745,2.7702152729034424,0.7216892227159679,0.3522968246606231
train,2006,10,2.653440287387996,3.952902317047119,1.2994620296591233,0.4897272555312722
train,2006,11,5.128661524932086,5.081036567687988,0.0476249572440981,0.009286040229515723
train,2006,12,5.83935675677048,5.802642822265625,0.036713934504854606,0.006287325134276153
train,2006,13,6.688316996499778,9.580819129943848,2.8925021334440695,0.43247084953619586
train,2006,14,11.125737355489349,12.814990043640137,1.6892526881507877,0.15183287490758285
train,2006,15,15.175208622987112,16.464632034301758,1.2894234113146457,0.08496907313428081
train,2006,16,21.21861658549237,21.61907958984375,0.40046300435137994,0.018873191036646864
train,2006,17,25.884230121443146,28.228830337524414,2.3446002160812682,0.09058025697812246
train,2007,1,0.5031416162518765,0.44849762320518494,0.05464399304669154,0.1086055919080002
train,2007,2,0.19121148970720486,0.13050156831741333,0.06070992138979153,0.31750142986928714
train,2007,3,0.21194668080900533,0.12015766650438309,0.09178901430462225,0.4330759696440086
train,2007,4,0.5496145827738296,0.3874027132987976,0.16221186947503197,0.2951374919058292
train,2007,5,0.914532376732467,0.859936535358429,0.05459584137403806,0.059698095729583525
train,2007,6,1.2798034221943524,0.9559056758880615,0.32389774630629087,0.25308398203114846
train,2007,7,1.388464635805726,1.3764554262161255,0.0120092095896005,0.008649272930615843
train,2007,8,1.4931385194785014,1.6955187320709229,0.20238021259242145,0.13554014577493445
train,2007,9,2.6173442680160552,2.5551421642303467,0.06220210378570856,0.02376535045305062
train,2007,10,3.287385194013159,3.6915972232818604,0.4042120292687015,0.12295852338956556
train,2007,11,4.456859057645594,4.864527225494385,0.407668167848791,0.09146983617293401
train,2007,12,6.960777848606742,5.566633701324463,1.3941441472822795,0.20028568323885365
train,2007,13,8.787200136795326,8.804095268249512,0.016895131454186085,0.0019226979232483696
train,2007,14,12.641378951360437,12.354239463806152,0.28713948755428476,0.02271425361577035
train,2007,15,14.547632196311119,16.172483444213867,1.6248512479027486,0.11169180152318221
train,2007,16,23.004459030975486,20.840316772460938,2.1641422585145484,0.09407490328724699
train,2007,17,26.651335164844365,27.452924728393555,0.8015895635491894,0.030076900785313446
train,2008,1,0.8390200246112546,0.47806474566459656,0.360955278946658,0.43021056513337713
train,2008,2,0.14498983983697344,0.1248866617679596,0.02010317806901385,0.13865232275226463
train,2008,3,0.09408289173176014,0.11974503844976425,0.02566214671800411,0.27276103280176306
train,2008,4,0.4929344015221817,0.37737369537353516,0.11556070614864655,0.23443424884033373
train,2008,5,1.0423899917731367,0.8416150212287903,0.20077497054434645,0.19261022470354838
train,2008,6,1.2579490227594423,0.9525113701820374,0.30543765257740496,0.2428060653103039
