ano,sexo,gr_et,poblacion,conteo_defunciones,tasa_x100k,tasa,t
1987,2,16,116852,29.0,24.817718139184606,0.0002481771813918461,9
1987,2,17,195152,39.0,19.984422398950564,0.00019984422398950562,9
1988,1,1,2004495,34.0,1.6961878178793162,1.6961878178793162e-05,10
1988,1,2,1888504,8.0,0.4236157296992752,4.236157296992752e-06,10
1988,1,3,1687517,9.0,0.533327960547953,5.33327960547953e-06,10
1988,1,4,1627024,19.0,1.167776258985731,1.167776258985731e-05,10
1988,1,5,1594702,30.0,1.8812292202555712,1.8812292202555713e-05,10
1988,1,6,1422927,47.0,3.303050683555797,3.303050683555797e-05,10
1988,1,7,1180662,69.0,5.844178943677361,5.8441789436773606e-05,10
1988,1,8,968469,71.0,7.331158767084956,7.331158767084955e-05,10
1988,1,9,793725,57.0,7.1813285457809695,7.181328545780969e-05,10
1988,1,10,647387,55.0,8.495691139920945,8.495691139920944e-05,10
1988,1,11,549084,67.0,12.202140291831487,0.00012202140291831487,10
1988,1,12,465066,94.0,20.21218493719171,0.0002021218493719171,10
1988,1,13,366539,92.0,25.099648332101083,0.00025099648332101084,10
1988,1,14,271228,109.0,40.18759125164068,0.00040187591251640683,10
1988,1,15,191185,81.0,42.36734053403771,0.0004236734053403771,10
1988,1,16,120894,69.0,57.074792793687024,0.0005707479279368703,10
1988,1,17,152780,66.0,43.199371645503334,0.00043199371645503336,10
1988,2,1,1982460,22.0,1.1097323527334726,1.1097323527334726e-05,10
1988,2,2,1885496,9.0,0.47732798160271883,4.773279816027188e-06,10
1988,2,3,1702317,7.0,0.4112042586662766,4.112042586662766e-06,10
1988,2,4,1657719,18.0,1.0858293836289503,1.0858293836289503e-05,10
1988,2,5,1649008,30.0,1.8192755887175804,1.8192755887175804e-05,10
1988,2,6,1494453,35.0,2.341994027246089,2.3419940272460892e-05,10
1988,2,7,1250173,34.0,2.7196236040931936,2.7196236040931936e-05,10
1988,2,8,1014807,37.0,3.646013478424962,3.646013478424962e-05,10
1988,2,9,814609,36.0,4.419298092704598,4.4192980927045984e-05,10
1988,2,10,642582,46.0,7.1586194446778775,7.158619444677878e-05,10
1988,2,11,526017,40.0,7.604316970744291,7.604316970744291e-05,10
1988,2,12,447660,41.0,9.158736541124961,9.158736541124961e-05,10
1988,2,13,355730,37.0,10.401146937283896,0.00010401146937283895,10
1988,2,14,267805,37.0,13.816022852448612,0.0001381602285244861,10
1988,2,15,191191,39.0,20.398449717821446,0.00020398449717821447,10
1988,2,16,123202,36.0,29.22030486518076,0.0002922030486518076,10
1988,2,17,186756,44.0,23.56015335518002,0.0002356015335518002,10
1989,1,1,2023107,20.0,0.9885784587765255,9.885784587765255e-06,11
1989,1,2,1914083,7.0,0.36571036888160025,3.6571036888160022e-06,11
1989,1,3,1721006,5.0,0.2905277494674626,2.9052774946746264e-06,11
1989,1,4,1621179,13.0,0.8018855413251714,8.018855413251714e-06,11
1989,1,5,1600193,33.0,2.0622512409440614,2.0622512409440613e-05,11
1989,1,6,1455822,52.0,3.571865241767194,3.571865241767194e-05,11
1989,1,7,1219032,53.0,4.347711955059424,4.347711955059424e-05,11
1989,1,8,999736,66.0,6.6017428601150705,6.60174286011507e-05,11
1989,1,9,819870,51.0,6.220498371693074,6.220498371693074e-05,11
1989,1,10,666815,66.0,9.897797740002849,9.897797740002849e-05,11
1989,1,11,558131,73.0,13.079366671982026,0.00013079366671982026,11
1989,1,12,475589,75.0,15.769918984669536,0.00015769918984669535,11
1989,1,13,379619,78.0,20.546916777084395,0.00020546916777084394,11
1989,1,14,279896,90.0,32.154800354417354,0.00032154800354417353,11
1989,1,15,197091,78.0,39.575627502016836,0.00039575627502016835,11
1989,1,16,125320,53.0,42.29173316310246,0.0004229173316310246,11
1989,1,17,146520,61.0,41.63254163254163,0.0004163254163254163,11
1989,2,1,1997877,26.0,1.3013814163734805,1.3013814163734805e-05,11
1989,2,2,1907948,3.0,0.15723698968734998,1.5723698968734998e-06,11
1989,2,3,1733489,2.0,0.11537425388912188,1.1537425388912188e-06,11
1989,2,4,1650136,12.0,0.727212787309652,7.27212787309652e-06,11
1989,2,5,1654587,16.0,0.9670086855511375,9.670086855511375e-06,11
1989,2,6,1530612,27.0,1.7640002822400453,1.7640002822400453e-05,11
1989,2,7,1295393,31.0,2.3930961491995095,2.3930961491995095e-05,11
1989,2,8,1054165,35.0,3.3201633520369205,3.32016335203692e-05,11
1989,2,9,847706,35.0,4.128789934246071,4.128789934246071e-05,11
1989,2,10,668602,45.0,6.73046147035157,6.73046147035157e-05,11
1989,2,11,538459,40.0,7.428606449144689,7.428606449144689e-05,11
1989,2,12,458709,39.0,8.502122260518107,8.502122260518106e-05,11
1989,2,13,369687,31.0,8.385472034450764,8.385472034450765e-05,11
1989,2,14,277732,29.0,10.441720795587113,0.00010441720795587112,11
1989,2,15,199485,36.0,18.046469659372885,0.00018046469659372885,11
1989,2,16,129690,28.0,21.58994525406739,0.0002158994525406739,11
1989,2,17,180561,39.0,21.59934869656238,0.0002159934869656238,11
1990,1,1,2044657,25.0,1.2226989661346621,1.2226989661346622e-05,12
1990,1,2,1932909,13.0,0.6725614087367796,6.7256140873677965e-06,12
1990,1,3,1759769,11.0,0.6250820420180149,6.250820420180149e-06,12
